RANK,RARITY SCORE,Model,MODEL RARITY,SUBTOTAL RARITY
231,65.66,Model M,2.68,62.98
232,65.65,Model M,2.68,62.97
233,65.63,Model O,4.96,60.66
234,65.59,Model M,2.68,62.91
235,65.51,Model M,2.68,62.84
236,65.41,Model O,4.96,60.45
237,65.35,Model E,3.43,61.92
238,65.35,Model M,2.68,62.68
239,65.24,Model E,3.43,61.8
240,65.17,Model E,3.43,61.73
241,65.07,Model E,3.43,61.63
242,64.93,Model M,2.68,62.26
243,64.85,Model W,8.95,55.9
244,64.78,Model O,4.96,59.82
245,64.75,Model E,3.43,61.32
246,64.71,Model W,8.95,55.77
247,64.71,Model M,2.68,62.03
248,64.62,Model M,2.68,61.95
249,64.58,Model M,2.68,61.91
250,64.5,Model M,2.68,61.82
251,64.49,Model W,8.95,55.53
252,64.42,Model E,3.43,61.01
253,64.38,Model M,2.68,61.71
254,64.38,Model E,3.43,60.95
255,64.38,Model E,3.43,60.95
256,64.37,Model M,2.68,61.69
257,64.3,Model O,4.96,59.35
258,64.22,Model E,3.43,60.79
259,64.22,Model E,3.43,60.79
260,64.19,Model O,4.96,59.22
261,64.17,Model M,2.68,61.51
262,64.14,Model M,2.68,61.46
263,64.08,Model M,2.68,61.41
264,64.06,Model O,4.96,59.1
265,64.03,Model M,2.68,61.35
266,63.93,Model E,3.43,60.49
267,63.77,Model M,2.68,61.09
268,63.72,Model M,2.68,61.04
269,63.68,Model M,2.68,60.99
270,63.66,Model E,3.43,60.23
271,63.34,Model M,2.68,60.66
272,63.19,Model M,2.68,60.52
273,63.16,Model O,4.96,58.2
274,63.06,Model M,2.68,60.37
275,63.03,Model E,3.43,59.59
276,63.02,Model M,2.68,60.35
277,63.01,Model E,3.43,59.57
278,62.95,Model M,2.68,60.27
279,62.93,Model E,3.43,59.5
280,62.84,Model E,3.43,59.41
281,62.78,Model E,3.43,59.35
282,62.78,Model O,4.96,57.82
283,62.66,Model E,3.43,59.23
284,62.66,Model M,2.68,59.99
285,62.33,Model E,3.43,58.9
286,62.32,Model M,2.68,59.64
287,62.29,Model O,4.96,57.32
288,62.24,Model E,3.43,58.79
289,62.21,Model E,3.43,58.77
290,62.2,Model E,3.43,58.77
291,62.19,Model M,2.68,59.5
292,62.17,Model E,3.43,58.74
293,62.13,Model W,8.95,53.19
294,62.13,Model E,3.43,58.71
295,61.96,Model M,2.68,59.28
296,61.82,Model O,4.96,56.86
297,61.72,Model M,2.68,59.06
298,61.63,Model E,3.43,58.19
299,61.59,Model M,2.68,58.91
300,61.49,Model M,2.68,58.8
301,61.34,Model M,2.68,58.67
302,61.17,Model O,4.96,56.21
303,61.14,Model O,4.96,56.18
304,61.02,Model M,2.68,58.34
305,61.01,Model M,2.68,58.33
306,60.97,Model E,3.43,57.55
307,60.96,Model W,8.95,52.01
308,60.9,Model E,3.43,57.47
309,60.77,Model O,4.96,55.81
310,60.44,Model E,3.43,57.02
311,60.39,Model E,3.43,56.96
312,60.37,Model M,2.68,57.7
313,60.14,Model E,3.43,56.71
314,60.1,Model M,2.68,57.4
315,59.92,Model M,2.68,57.25
316,59.86,Model M,2.68,57.2
317,59.77,Model M,2.68,57.1
318,59.75,Model E,3.43,56.31
319,59.7,Model M,2.68,57.03
320,59.69,Model M,2.68,57.02
321,59.68,Model O,4.96,54.74
322,59.56,Model O,4.96,54.6
323,59.56,Model O,4.96,54.6
324,59.35,Model M,2.68,56.66
325,59.33,Model E,3.43,55.9
326,59.06,Model M,2.68,56.39
327,59.04,Model E,3.43,55.61
328,58.99,Model M,2.68,56.31
329,58.92,Model M,2.68,56.25
330,58.92,Model E,3.43,55.49
331,58.88,Model M,2.68,56.2
332,58.88,Model O,4.96,53.9
333,58.74,Model M,2.68,56.05
334,58.65,Model M,2.68,55.98
335,58.62,Model M,2.68,55.95
336,58.6,Model E,3.43,55.17
337,58.59,Model W,8.95,49.65
338,58.45,Model O,4.96,53.48
339,58.37,Model W,8.95,49.43
340,58.29,Model E,3.43,54.87
341,58.29,Model M,2.68,55.6
342,58.27,Model O,4.96,53.31
343,58.24,Model M,2.68,55.55
344,58.03,Model E,3.43,54.59
345,57.88,Model O,4.96,52.91
346,57.87,Model M,2.68,55.2
347,57.83,Model O,4.96,52.86
348,57.83,Model O,4.96,52.87
349,57.64,Model M,2.68,54.98
350,57.61,Model M,2.68,54.93
351,57.4,Model E,3.43,53.98
352,57.36,Model E,3.43,53.92
353,57.35,Model M,2.68,54.68
354,57.22,Model E,3.43,53.78
355,57.18,Model E,3.43,53.73
356,57.17,Model E,3.43,53.75
357,57.17,Model W,8.95,48.22
358,57.12,Model O,4.96,52.15
359,57.04,Model E,3.43,53.61
360,56.99,Model M,2.68,54.32
361,56.93,Model E,3.43,53.49
362,56.82,Model E,3.43,53.39
363,56.81,Model M,2.68,54.13
364,56.79,Model E,3.43,53.36
365,56.69,Model E,3.43,53.26
366,56.66,Model E,3.43,53.23
367,56.64,Model O,4.96,51.69
368,56.57,Model E,3.43,53.14
369,56.56,Model E,3.43,53.12
370,56.47,Model O,4.96,51.51
371,56.16,Model O,4.96,51.21
372,56.16,Model M,2.68,53.47
373,56.14,Model M,2.68,53.48
374,56.14,Model E,3.43,52.71
375,56.05,Model E,3.43,52.61
376,56,Model M,2.68,53.33
377,55.97,Model W,8.95,47.02
378,55.83,Model E,3.43,52.39
379,55.42,Model O,4.96,50.46
380,55.25,Model O,4.96,50.3
381,55.19,Model E,3.43,51.76
382,55.08,Model M,2.68,52.4
383,55.04,Model O,4.96,50.07
384,54.86,Model W,8.95,45.91
385,54.8,Model M,2.68,52.13
386,54.61,Model O,4.96,49.64
387,54.59,Model M,2.68,51.93
388,54.4,Model E,3.43,50.98
389,54.22,Model W,8.95,45.27
390,54.14,Model E,3.43,50.71
391,54.03,Model E,3.43,50.58
392,53.98,Model M,2.68,51.31
393,53.83,Model E,3.43,50.4
394,53.77,Model M,2.68,51.1
395,53.77,Model W,8.95,44.84
396,53.69,Model M,2.68,51.01
397,53.68,Model E,3.43,50.27
398,53.66,Model E,3.43,50.24
399,53.54,Model E,3.43,50.1
400,53.31,Model E,3.43,49.88
401,53.23,Model M,2.68,50.55
402,53.06,Model M,2.68,50.38
403,53.04,Model M,2.68,50.36
404,52.97,Model M,2.68,50.29
405,52.89,Model M,2.68,50.21
406,52.87,Model E,3.43,49.44
407,52.86,Model O,4.96,47.9
408,52.51,Model E,3.43,49.08
409,52.43,Model O,4.96,47.47
410,52.42,Model M,2.68,49.75
411,52.35,Model M,2.68,49.67
412,52.35,Model M,2.68,49.68
413,52.33,Model O,4.96,47.37
414,52.33,Model O,4.96,47.37
415,52.32,Model M,2.68,49.65
416,52.3,Model M,2.68,49.63
417,52.3,Model O,4.96,47.34
418,52.21,Model M,2.68,49.53
419,52.11,Model O,4.96,47.16
420,51.98,Model M,2.68,49.31
421,51.61,Model M,2.68,48.94
422,51.6,Model O,4.96,46.64
423,51.57,Model E,3.43,48.14
424,51.44,Model E,3.43,48.01
425,51.35,Model O,4.96,46.39
426,51.28,Model E,3.43,47.85
427,51.25,Model O,4.96,46.3
428,51.13,Model O,4.96,46.17
429,51.12,Model M,2.68,48.46
430,51.11,Model O,4.96,46.14
431,50.91,Model M,2.68,48.23
432,50.68,Model M,2.68,48.01
433,50.62,Model E,3.43,47.19
434,50.58,Model E,3.43,47.14
435,50.58,Model E,3.43,47.15
